Date,Actual_Price,Predicted_Price,Percentage_Error
2024-08-11,2555.38,2607.6482,2.045417642752737
2024-08-12,2722.3,2620.0896,3.7545604962945
2024-08-13,2702.44,2673.6145,1.066647105833064
2024-08-14,2661.45,2710.8406,1.855776970143162
2024-08-15,2569.89,2712.8179,5.5616338089859925
2024-08-16,2592.73,2667.0464,2.8663372861327625
2024-08-17,2614.51,2629.3027,0.5657937577213237
2024-08-18,2612.15,2613.8042,0.0633271143980977
2024-08-19,2636.36,2609.8806,1.004391841995218
2024-08-20,2572.82,2620.4875,1.852735474231576
2024-08-21,2630.71,2608.9717,0.8263290257192938
2024-08-22,2622.88,2616.3406,0.24932226514842878
2024-08-23,2762.48,2623.8633,5.017836101980829
2024-08-24,2768.0,2680.8591,3.14815278687229
2024-08-25,2746.13,2734.9536,0.40698680392953385
2024-08-26,2680.49,2760.5203,2.985657983125295
2024-08-27,2457.33,2742.3647,11.599367854286974
2024-08-28,2528.33,2633.94,4.177063176335767
2024-08-29,2527.6099999999997,2561.8677,1.3553386709678443
2024-08-30,2526.0,2525.135,0.03424347721199525
2024-08-31,2513.01,2513.7551,0.02965077548934472
2024-09-01,2425.72,2511.8323,3.5499676545778245
2024-09-02,2538.01,2483.7805,2.1366930162558546
2024-09-03,2425.2900000000004,2498.8496,3.033023241550477
2024-09-04,2450.71,2481.8198,1.269420870635447
2024-09-05,2368.81,2470.8152,4.306178441786174
2024-09-06,2225.23,2435.9143,9.46797888940132
2024-09-07,2273.58,2355.212,3.5904570792538673
2024-09-08,2297.3,2304.7683,0.3250907825218656
2024-09-09,2359.5,2289.4148,2.970341389197923
2024-09-10,2388.52,2313.9656,3.121364854726985
2024-09-11,2340.55,2354.8667,0.6116809817670982
2024-09-12,2361.76,2370.8862,0.3864165058579102
2024-09-13,2439.19,2380.8745,2.3907726860658682
2024-09-14,2417.79,2412.1255,0.23428468637681368
2024-09-15,2316.1,2430.9348,4.958111241013993
2024-09-16,2295.68,2402.4587,4.651290259721528
2024-09-17,2341.8,2360.7715,0.8101240231872839
2024-09-18,2374.75,2344.3433,1.2804184979997895
2024-09-19,2465.21,2353.189,4.544076778702425
2024-09-20,2561.4,2400.1934,6.2936925363082725
2024-09-21,2612.4000000000005,2478.821,5.113265773929165
2024-09-22,2581.0,2559.277,0.8416466637204572
2024-09-23,2646.97,2599.7751,1.7829765171356233
